Datum;Uhrzeit;Autobahn;Richtung_Start;Richtung_Ende;Streckenabschnitt_Start;Streckenabschnitt_Ende;Art;Laenge;Beschreibung
2011-01-03;07:18:00;A3;Arnheim;Oberhausen;Hamminkeln;Wesel;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der Fahrbahn.
2011-01-03;07:24:00;A1;Euskirchen;Köln;Kreuz Bliesheim;Erftstadt;Stau;2;Unfall
2011-01-03;07:24:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;07:24:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:24:00;A3;Arnheim;Oberhausen;Hamminkeln;Wesel;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der Fahrbahn.
2011-01-03;07:30:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;Stau;4;Baustelle
2011-01-03;07:30:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:36:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;07:36:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:42:00;A3;Oberhausen;Köln;Kreuz Leverkusen;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;07:42:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:48:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;07:48:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;07:54:00;A3;Oberhausen;Köln;Leverkusen-Zentrum;Köln-Mülheim;Stau;3;Baustelle
2011-01-03;07:54:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;dort gesperrt.
2011-01-03;08:00:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:00:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;3;dort gesperrt.
2011-01-03;08:06:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:06:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;3;dort gesperrt.
2011-01-03;08:12:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:12:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;3;dort gesperrt.
2011-01-03;08:18:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:18:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;3;dort gesperrt.
2011-01-03;08:24:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:30:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:36:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:36:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;Dort ist der rechte Fahrstreifen gesperrt.
2011-01-03;08:42:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:42:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;Dort ist der rechte Fahrstreifen gesperrt.
2011-01-03;08:42:00;A3;Oberhausen;Köln;Oberhausen-Lirich;Kreuz Kaiserberg;Gefahr;NULL;Gefahr durch einen Kanister auf der linken Fahrspur.
2011-01-03;08:48:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:48:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;Dort ist der rechte Fahrstreifen gesperrt.
2011-01-03;08:48:00;A3;Oberhausen;Köln;Oberhausen-Lirich;Kreuz Kaiserberg;Gefahr;NULL;Gefahr durch einen Kanister auf der linken Fahrspur.
2011-01-03;08:54:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;08:54:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;Dort ist der rechte Fahrstreifen gesperrt.
2011-01-03;08:54:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Gefahr;NULL;Gefahr durch eine ungesicherte Unfallstelle auf der linken Fahrspur.
2011-01-03;09:00:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;09:00:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;Dort ist der rechte Fahrstreifen gesperrt.
2011-01-03;09:00:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Gefahr;NULL;Gefahr durch eine ungesicherte Unfallstelle auf der linken Fahrspur.
2011-01-03;09:06:00;A1;Dortmund;Köln;Kreuz Wuppertal-Nord;Wuppertal-Langerfeld;Stau;2;Baustelle
2011-01-03;09:06:00;A46;Wuppertal;Düsseldorf;Kreuz Wuppertal-Nord;Wuppertal-Wichlinghausen;Stau;2;Baustelle
2011-01-03;09:06:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;09:06:00;A43;Recklinghausen;Münster;Haltern;Lavesum;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf dem rechten Fahrstreifen.
2011-01-03;09:06:00;A3;Köln;Frankfurt;Bad Honnef/Linz;Neustadt (Wied);Stau;2;Dort ist der rechte Fahrstreifen gesperrt.
2011-01-03;09:06:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Gefahr;NULL;Gefahr durch eine ungesicherte Unfallstelle auf der linken Fahrspur.
2011-01-03;09:12:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;2;Unfall
2011-01-03;09:12:00;A46;Wuppertal;Düsseldorf;Wuppertal-Oberbarmen;Wuppertal-Wichlinghausen;Stau;1;Baustelle
2011-01-03;09:12:00;A1;Dortmund;Köln;Kreuz Wuppertal-Nord;Wuppertal-Langerfeld;Stau;2;Baustelle
2011-01-03;09:12:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;09:12:00;A43;Recklinghausen;Münster;Haltern;Lavesum;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf dem rechten Fahrstreifen.
2011-01-03;09:18:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;2;Unfall
2011-01-03;09:18:00;A1;Dortmund;Köln;Kreuz Wuppertal-Nord;Wuppertal-Langerfeld;Stau;2;Baustelle
2011-01-03;09:18:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;09:18:00;A46;Düsseldorf;Wuppertal;Wuppertal-Wichlinghausen;Kreuz Wuppertal-Nord;Stau;1;Straßenglätte
2011-01-03;09:24:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;2;Unfall
2011-01-03;09:24:00;A1;Dortmund;Köln;Kreuz Wuppertal-Nord;Wuppertal-Langerfeld;Stau;2;Baustelle
2011-01-03;09:24:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;09:24:00;A46;Düsseldorf;Wuppertal;Wuppertal-Wichlinghausen;Kreuz Wuppertal-Nord;Stau;1;Straßenglätte
2011-01-03;09:30:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;09:30:00;A1;Euskirchen;Köln;Köln-Bocklemünd;Kreuz Köln-Nord;Stau;1;Baustelle
2011-01-03;09:30:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;stockender Verkehr;6;Baustelle
2011-01-03;09:30:00;A46;Düsseldorf;Wuppertal;Wuppertal-Wichlinghausen;Kreuz Wuppertal-Nord;Stau;1;Straßenglätte
2011-01-03;09:36:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;09:36:00;A1;Euskirchen;Köln;Köln-Bocklemünd;Kreuz Köln-Nord;stockender Verkehr;2;Baustelle
2011-01-03;09:36:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;09:42:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;09:42:00;A1;Euskirchen;Köln;Köln-Bocklemünd;Kreuz Köln-Nord;stockender Verkehr;2;Baustelle
2011-01-03;09:42:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;09:48:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;09:48:00;A1;Euskirchen;Köln;Köln-Bocklemünd;Kreuz Köln-Nord;stockender Verkehr;2;Baustelle
2011-01-03;09:48:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;09:48:00;A44;Dortmund;Kassel;Kreuz Dortmund/Unna;Unna-Ost;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;09:54:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;09:54:00;A1;Euskirchen;Köln;Köln-Lövenich;Kreuz Köln-Nord;Stau;4;Baustelle
2011-01-03;09:54:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;09:54:00;A44;Dortmund;Kassel;Kreuz Dortmund/Unna;Unna-Ost;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;10:00:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;10:00:00;A1;Euskirchen;Köln;Köln-Lövenich;Kreuz Köln-Nord;Stau;4;Baustelle
2011-01-03;10:00:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:00:00;A44;Dortmund;Kassel;Kreuz Dortmund/Unna;Unna-Ost;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;10:06:00;A44;Kassel;Dortmund;Lichtenau;Kreuz Wünnenberg-Haaren;Stau;1;Unfall
2011-01-03;10:06:00;A1;Euskirchen;Köln;Köln-Lövenich;Kreuz Köln-Nord;Stau;4;Baustelle
2011-01-03;10:06:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:06:00;A44;Dortmund;Kassel;Kreuz Dortmund/Unna;Unna-Ost;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der rechten Fahrspur
2011-01-03;10:12:00;A1;Euskirchen;Köln;Köln-Lövenich;Kreuz Köln-Nord;Stau;4;Baustelle
2011-01-03;10:12:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:18:00;A1;Euskirchen;Köln;Köln-Lövenich;Kreuz Köln-Nord;Stau;4;Baustelle
2011-01-03;10:18:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:24:00;A1;Euskirchen;Köln;Köln-Lövenich;Kreuz Köln-Nord;Stau;4;Baustelle
2011-01-03;10:24:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:30:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;stockender Verkehr;7;Baustelle
2011-01-03;10:30:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:36:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;stockender Verkehr;7;Baustelle
2011-01-03;10:36:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:42:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;stockender Verkehr;7;Baustelle
2011-01-03;10:42:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:48:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;stockender Verkehr;7;Baustelle
2011-01-03;10:48:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;10:54:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;10:54:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:00:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:00:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:06:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:06:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:12:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:12:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:12:00;A61;Venlo;Mönchengladbach;Viersen;Mackenstein;Gefahr;NULL;Gefahr durch Reifenteile auf der Fahrbahn.
2011-01-03;11:18:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:18:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:18:00;A61;Venlo;Mönchengladbach;Viersen;Mackenstein;Gefahr;NULL;Gefahr durch Reifenteile auf der Fahrbahn.
2011-01-03;11:24:00;A2;Dortmund;Hannover;Kamener Kreuz;Bönen;Stau;1;Baustelle
2011-01-03;11:24:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:24:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:24:00;A61;Venlo;Mönchengladbach;Viersen;Mackenstein;Gefahr;NULL;Gefahr durch Reifenteile auf der Fahrbahn.
2011-01-03;11:30:00;A2;Dortmund;Hannover;Kamener Kreuz;Bönen;Stau;1;Baustelle
2011-01-03;11:30:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:30:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:30:00;A61;Venlo;Mönchengladbach;Viersen;Mackenstein;Gefahr;NULL;Gefahr durch Reifenteile auf der Fahrbahn.
2011-01-03;11:36:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;11:36:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:36:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:42:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;11:42:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:42:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:48:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;11:48:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:48:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:54:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;11:54:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;11:54:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;11:54:00;A4;Köln;Olpe;Köln-Klettenberg;Köln-Eifeltor;Gefahr;NULL;Gefahr durch Werkzeug auf der Fahrbahn.
2011-01-03;12:00:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;12:00:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;12:00:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;12:00:00;A4;Köln;Olpe;Köln-Klettenberg;Köln-Eifeltor;Gefahr;NULL;Gefahr durch Werkzeug auf der Fahrbahn.
2011-01-03;12:06:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;12:06:00;A1;Euskirchen;Köln;Kreuz Köln-West;Kreuz Köln-Nord;Stau;6;Baustelle
2011-01-03;12:06:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;7;Baustelle
2011-01-03;12:06:00;A4;Köln;Olpe;Köln-Klettenberg;Köln-Eifeltor;Gefahr;NULL;Gefahr durch Werkzeug auf der Fahrbahn.
2011-01-03;12:12:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;12:12:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;8;Baustelle
2011-01-03;12:12:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:18:00;A1;Dortmund;Osnabrück;Kreuz Münster-Süd;Münster-Nord;Gefahr;NULL;Gefahr durch Personen auf der Fahrbahn
2011-01-03;12:18:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Dellbrück;Stau;8;Baustelle
2011-01-03;12:18:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:24:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;8;Unfall
2011-01-03;12:24:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:24:00;A31;Gronau;Bottrop;Gladbeck;Dreieck Bottrop;Gefahr;NULL;Gefahr durch eine Schaufel auf der rechten Fahrspur.
2011-01-03;12:30:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;8;Unfall
2011-01-03;12:30:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:30:00;A31;Gronau;Bottrop;Lembeck;Schermbeck;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;12:30:00;A31;Gronau;Bottrop;Gladbeck;Dreieck Bottrop;Gefahr;NULL;Gefahr durch eine Schaufel auf der rechten Fahrspur.
2011-01-03;12:36:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;8;Unfall
2011-01-03;12:36:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:36:00;A2;Dortmund;Hannover;Rheda-Wiedenbrück;Gütersloh;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf dem linken Fahrstreifen.
2011-01-03;12:36:00;A31;Gronau;Bottrop;Lembeck;Schermbeck;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf der Fahrbahn.
2011-01-03;12:36:00;A31;Gronau;Bottrop;Gladbeck;Dreieck Bottrop;Gefahr;NULL;Gefahr durch eine Schaufel auf der rechten Fahrspur.
2011-01-03;12:42:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;8;Unfall
2011-01-03;12:42:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:42:00;A2;Dortmund;Hannover;Rheda-Wiedenbrück;Gütersloh;Gefahr;NULL;Gefahr durch ein defektes Fahrzeug auf dem linken Fahrstreifen.
2011-01-03;12:42:00;A31;Gronau;Bottrop;Gladbeck;Dreieck Bottrop;Gefahr;NULL;Gefahr durch eine Schaufel auf der rechten Fahrspur.
2011-01-03;12:48:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:48:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;8;Dort ist nur ein Fahrstreifen frei.
2011-01-03;12:54:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;12:54:00;A3;Oberhausen;Köln;Leverkusen-Opladen;Köln-Mülheim;stockender Verkehr;8;Dort ist nur ein Fahrstreifen frei.
2011-01-03;13:00:00;A3;Oberhausen;Köln;Dreieck Langenfeld;Köln-Dellbrück;stockender Verkehr;10;Baustelle
2011-01-03;13:00:00;A1;Euskirchen;Köln;Gleuel;Kreuz Köln-Nord;Stau;7;Baustelle
2011-01-03;13:00:00;A46;Wuppertal;Düsseldorf;Haan-Ost;Haan-West;Gefahr;NULL;Gefahr durch ein brennendes Fahrzeug auf der rechten Fahrspur.
2011-01-03;13:06:00;A3;Oberhausen;Köln;Dreieck Langenfeld;Köln-Dellbrück;stockender Verkehr;10;Baustelle
